,DAX,SP500,OIL,GOLD,USD_EUR,VOL_DAX,VOL_SP500,REALIZED_VOL_DAX,TASSO_3M_DE,YIELD_10Y_DE,CPI_DE,CORE_CPI_DE,INDPROD_DE,UNEMP_DE,TERM_SPREAD_DE
2024-03-11,17746.26953125,5117.93994140625,82.20999908447266,2182.5,0.9138299822807312,66646400.0,3896430000.0,0.07860601466976147,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-12,17965.109375,5175.27001953125,81.91999816894531,2160.39990234375,0.9147999882698059,91388300.0,4080510000.0,0.08487789626677565,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-13,17961.380859375,5165.31005859375,84.02999877929688,2175.39990234375,0.9150999784469604,92880500.0,4282890000.0,0.07428241600350331,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-14,17942.0390625,5150.47998046875,85.41999816894531,2163.0,0.9128000140190125,93590600.0,4687970000.0,0.07550084711689252,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-15,17936.650390625,5117.08984375,85.33999633789062,2157.300048828125,0.9188299775123596,202910600.0,7753670000.0,0.07523880396554262,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-18,17932.6796875,5149.419921875,86.88999938964844,2160.699951171875,0.9189000129699707,63024300.0,4036220000.0,0.07550798044070203,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-19,17987.490234375,5178.509765625,87.37999725341797,2156.300048828125,0.9196299910545349,73421100.0,4031760000.0,0.07433249978757552,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-20,18015.130859375,5224.6201171875,85.94999694824219,2157.89990234375,0.9205300211906433,61711000.0,4064850000.0,0.07310878932078255,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-21,18179.25,5241.52978515625,85.77999877929688,2182.39990234375,0.9143099784851074,79118500.0,4207730000.0,0.0765319343208861,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
2024-03-22,18205.939453125,5234.18017578125,85.43000030517578,2158.10009765625,0.9206100106239319,68616300.0,3374700000.0,0.06327544470709326,3.9231,2.3495,125.8112,120.4163,91.43041,3.3,-1.5735999999999999
