data,giorno,allocazione_K,posizione_prec,turnover,operazione,posizione,rendimento_giorno,rendimento_buyhold,equity_agente,equity_buyhold,drawdown_agente
2021-01-26,115,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.018061460089218828,104515.27833938599,104955.79242706299,-0.040065128676325674
2021-01-27,116,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0033383573764271812,104515.27833938599,105306.17237091064,-0.040065128676325674
2021-01-28,117,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.01705407980916762,104515.27833938599,103510.27250289917,-0.040065128676325674
2021-01-29,118,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.01408107799648306,104515.27833938599,104967.8087234497,-0.040065128676325674
2021-02-01,119,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.015646758818343987,104515.27833938599,106610.2147102356,-0.040065128676325674
2021-02-02,120,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.007117432151422021,104515.27833938599,107369.00568008423,-0.040065128676325674
2021-02-03,121,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.009090167224303114,104515.27833938599,108345.00789642334,-0.040065128676325674
2021-02-04,122,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0002538334126631625,104515.27833938599,108317.50631332397,-0.040065128676325674
2021-02-05,123,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.00022693428183506725,104515.27833938599,108342.08726882935,-0.040065128676325674
2021-02-08,124,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0034218370618436245,104515.27833938599,107971.35829925537,-0.040065128676325674
2021-02-09,125,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.00562596289796935,104515.27833938599,107363.91544342041,-0.040065128676325674
2021-02-10,126,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.007747099875665242,104515.27833938599,108195.67441940308,-0.040065128676325674
2021-02-11,127,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0006395911200292037,104515.27833938599,108264.8754119873,-0.040065128676325674
2021-02-12,128,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.004241285649415838,104515.27833938599,108724.05767440796,-0.040065128676325674
2021-02-15,129,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0031808789821976546,104515.27833938599,108378.21960449219,-0.040065128676325674
2021-02-16,130,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.011044034465887864,104515.27833938599,107181.28681182861,-0.040065128676325674
2021-02-17,131,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.001606047279629541,104515.27833938599,107009.14859771729,-0.040065128676325674
2021-02-18,132,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.007654698705898744,104515.27833938599,107828.27138900757,-0.040065128676325674
2021-02-19,133,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0030865784196439927,104515.27833938599,107495.45097351074,-0.040065128676325674
2021-02-22,134,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.006109651459427434,104515.27833938599,106838.69123458862,-0.040065128676325674
2021-02-23,135,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.008019611975927043,104515.27833938599,107695.49608230591,-0.040065128676325674
2021-02-24,136,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.00691686315252793,104515.27833938599,106950.58107376099,-0.040065128676325674
2021-02-25,137,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.006703437990607131,104515.27833938599,106233.64448547363,-0.040065128676325674
2021-02-26,138,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.016431532922988268,104515.27833938599,107979.22611236572,-0.040065128676325674
2021-03-01,139,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0019252692164257734,104515.27833938599,108187.11519241333,-0.040065128676325674
2021-03-02,140,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0028655508362007698,104515.27833938599,108497.13087081909,-0.040065128676325674
2021-03-03,141,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.001682598466455576,104515.27833938599,108314.57376480103,-0.040065128676325674
2021-03-04,142,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.00965036096404559,104515.27833938599,107269.29903030396,-0.040065128676325674
2021-03-05,143,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0330600958992604,104515.27833938599,110815.63234329224,-0.040065128676325674
2021-03-08,144,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0039656239440897245,104515.27833938599,111255.08546829224,-0.040065128676325674
2021-03-09,145,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.007086226325715428,104515.27833938599,112043.46418380737,-0.040065128676325674
2021-03-10,146,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0020040670773040503,104515.27833938599,112268.00680160522,-0.040065128676325674
2021-03-11,147,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.004598669975746761,104515.27833938599,111751.72328948975,-0.040065128676325674
2021-03-12,148,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.002825029916536659,104515.27833938599,111436.02132797241,-0.040065128676325674
2021-03-15,149,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.006649385837357968,104515.27833938599,112177.00242996216,-0.040065128676325674
2021-03-16,150,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0026810585957264266,104515.27833938599,112477.75554656982,-0.040065128676325674
2021-03-17,151,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.01225692658159483,104515.27833938599,113856.3871383667,-0.040065128676325674
2021-03-18,152,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.010457790342882634,104515.27833938599,112665.70091247559,-0.040065128676325674
2021-03-19,153,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0024765413152607607,104515.27833938599,112944.72217559814,-0.040065128676325674
2021-03-22,154,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.00032814431172556446,104515.27833938599,112981.78434371948,-0.040065128676325674
2021-03-23,155,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0035213559890010515,104515.27833938599,112583.9352607727,-0.040065128676325674
2021-03-24,156,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0007509350952565885,104515.27833938599,112668.47848892212,-0.040065128676325674
2021-03-25,157,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.008725556448905492,104515.27833938599,113651.5736579895,-0.040065128676325674
2021-03-26,158,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.004663415422101469,104515.27833938599,114181.57815933228,-0.040065128676325674
2021-03-29,159,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.01288252701825865,104515.27833938599,115652.52542495728,-0.040065128676325674
2021-03-30,160,0.0,0.0,0.0,MANTIENE,CASH,0.0,-1.8038192935887487e-05,104515.27833938599,115650.43926239014,-0.040065128676325674
2021-03-31,161,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.006585089958606183,104515.27833938599,116412.0078086853,-0.040065128676325674
2021-04-01,162,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0,104515.27833938599,116412.0078086853,-0.040065128676325674
2021-04-02,163,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0,104515.27833938599,116412.0078086853,-0.040065128676325674
2021-04-05,164,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.006984083617305181,104515.27833938599,117225.03900527954,-0.040065128676325674
2021-04-06,165,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0023874391636223846,104515.27833938599,116945.17135620117,-0.040065128676325674
2021-04-07,166,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0017342380361733412,104515.27833938599,117147.98212051392,-0.040065128676325674
2021-04-08,167,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0020707056059858786,104515.27833938599,117390.5611038208,-0.040065128676325674
2021-04-09,168,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0012576880434029825,104515.27833938599,117242.92039871216,-0.040065128676325674
2021-04-12,169,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.0012723881701046658,104515.27833938599,117392.098903656,-0.040065128676325674
2021-04-13,170,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.0016548256660048333,104515.27833938599,117197.83544540405,-0.040065128676325674
2021-04-14,171,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.003036332956881438,104515.27833938599,117553.68709564209,-0.040065128676325674
2021-04-15,172,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.013399900498097583,104515.27833938599,119128.8948059082,-0.040065128676325674
2021-04-16,173,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.005909585424410224,104515.27833938599,118424.89242553711,-0.040065128676325674
2021-04-19,174,0.0,0.0,0.0,MANTIENE,CASH,0.0,-0.015543576734915798,104515.27833938599,116584.14602279663,-0.040065128676325674
2021-04-20,175,0.0,0.0,0.0,MANTIENE,CASH,0.0,0.004392733706777063,104515.27833938599,117096.26913070679,-0.040065128676325674
